acc,f1,pr,re,auc,g-loss,d-loss,epoch
0.9804439112177564,0.8271474019088016,0.9713574097135741,0.7202216066481995,0.9229683376675676,5.2966461181640625,0.004422233905643225,0
0.9801439712057588,0.8258811152025248,0.9596577017114915,0.7248384118190212,0.9243195832689848,6.142040252685547,0.0019525772659108043,10
0.9805638872225555,0.8285714285714286,0.9702602230483272,0.7229916897506925,0.9264308674967141,7.072566032409668,0.0008548169862478971,20
0.9802639472105579,0.8262017960908611,0.9654320987654321,0.7220683287165282,0.9273087920829922,0.6863178014755249,0.6916205883026123,30
0.9796040791841631,0.82086406743941,0.9558282208588957,0.7192982456140351,0.9243141332648055,0.6922835111618042,0.6934106349945068,40
0.9808038392321535,0.8305084745762712,0.9739130434782609,0.7239150507848569,0.9240069485183718,0.6962757110595703,0.6931671500205994,50
0.9802639472105579,0.8267509215376515,0.9620098039215687,0.7248384118190212,0.9224684182624665,0.6938635110855103,0.6931470632553101,60
0.9803239352129574,0.8264550264550264,0.9677819083023544,0.7211449676823638,0.9218935316803114,0.6932429671287537,0.6931108236312866,70
0.9797840431913617,0.822538177988415,0.9571078431372549,0.7211449676823638,0.9218594099150149,0.6932060718536377,0.6931471824645996,80
0.9801439712057588,0.8251452720549394,0.9641975308641976,0.7211449676823638,0.9251393349845661,0.6942902207374573,0.6931487321853638,90
0.9797240551889622,0.8222923238696109,0.9548229548229549,0.7220683287165282,0.9190755833237219,0.6938895583152771,0.6931473016738892,100
0.9797840431913617,0.8229111928533893,0.9548780487804878,0.7229916897506925,0.9251912581222094,0.6938251256942749,0.6931474208831787,110
0.9796040791841631,0.8219895287958114,0.9492140266021766,0.7248384118190212,0.9263652897290346,0.6840887665748596,0.6931608319282532,120
0.980503899220156,0.8284960422163589,0.9667487684729064,0.7248384118190212,0.9257749417219797,0.6939842700958252,0.6931475400924683,130
0.9798440311937613,0.8224101479915433,0.9616810877626699,0.7183748845798708,0.9270407940513914,0.693595290184021,0.6931471824645996,140
0.9799640071985602,0.8236536430834214,0.9617755856966708,0.7202216066481995,0.9288969647682703,0.6937435865402222,0.6931472420692444,150
0.9802639472105579,0.8262017960908611,0.9654320987654321,0.7220683287165282,0.9268359746008479,0.7057385444641113,0.6917999982833862,160
0.9803239352129574,0.8268215417106652,0.9654747225647349,0.7229916897506925,0.9287503181884235,0.6846433281898499,0.6932734251022339,170
0.9805638872225555,0.828752642706131,0.969097651421508,0.7239150507848569,0.9288057660570304,0.7047140002250671,0.6948033571243286,180
0.9798440311937613,0.8233438485804416,0.9560439560439561,0.7229916897506925,0.9199167796209652,0.6985995769500732,0.6949900984764099,190
0.980503899220156,0.8279512969825306,0.9702233250620348,0.7220683287165282,0.9314263590992351,0.6868454217910767,0.6927657127380371,200
0.9806838632273546,0.829449152542373,0.9726708074534162,0.7229916897506925,0.9275024745684737,0.6824229955673218,0.6914992928504944,210
0.9798440311937613,0.8237145855194123,0.9538274605103281,0.7248384118190212,0.9275188245810118,0.7245102524757385,0.6891722083091736,220
0.9797840431913617,0.8229111928533893,0.9548780487804878,0.7229916897506925,0.9169385300544923,0.7134476900100708,0.6883534789085388,230
0.9800239952009598,0.8242744063324537,0.9618226600985221,0.7211449676823638,0.9158192650657516,0.7000674605369568,0.6937987804412842,240
0.9801439712057588,0.8253298153034301,0.9630541871921182,0.7220683287165282,0.9237941317790869,0.6957582831382751,0.6928743124008179,250
0.9796040791841631,0.8212407991587802,0.9536019536019537,0.7211449676823638,0.9242761905726657,0.6981968283653259,0.6886543035507202,260
0.9800839832033593,0.8245243128964059,0.9641532756489494,0.7202216066481995,0.9228340424558878,0.6986823081970215,0.6976718902587891,270
0.9802039592081584,0.8263157894736842,0.9608323133414932,0.7248384118190212,0.9289510205162446,0.6992719769477844,0.691317617893219,280
0.9798440311937613,0.8235294117647058,0.9549330085261876,0.7239150507848569,0.9294700445555615,0.7557380199432373,0.7319812178611755,290
0.9802639472105579,0.8260179799048123,0.9665841584158416,0.7211449676823638,0.9292888319165988,0.6152109503746033,0.6749146580696106,300
0.980383923215357,0.8272583201267828,0.9666666666666667,0.7229916897506925,0.9334748201809626,0.6173628568649292,0.6977872848510742,310
0.9802639472105579,0.8265682656826568,0.9631449631449631,0.7239150507848569,0.9249680152879727,0.6726467609405518,0.6710329055786133,320
0.9799640071985602,0.8243953732912723,0.9572649572649573,0.7239150507848569,0.92725298877933,0.6664414405822754,0.6836655139923096,330
0.9799640071985602,0.8240252897787145,0.9595092024539877,0.7220683287165282,0.922453549229325,0.6866570115089417,0.6858817338943481,340
0.9805638872225555,0.8289334741288279,0.967940813810111,0.7248384118190212,0.9257050394944624,0.6832094788551331,0.6902123093605042,350
0.9803239352129574,0.8270042194092827,0.964329643296433,0.7239150507848569,0.9274448644699477,0.3398725986480713,0.6430718302726746,360
0.9802639472105579,0.8258337744838539,0.967741935483871,0.7202216066481995,0.9296805213473998,0.9923007488250732,0.653829038143158,370
0.980383923215357,0.8263409453000532,0.9725,0.7183748845798708,0.9205931132917841,0.74733567237854,0.6857045888900757,380
0.9800239952009598,0.8240887480190174,0.9629629629629629,0.7202216066481995,0.931314663633147,0.7230323553085327,0.6574342846870422,390
0.9799640071985602,0.8236536430834214,0.9617755856966708,0.7202216066481995,0.9215062259485244,0.6969215869903564,0.7027100920677185,400
0.9802639472105579,0.8260179799048123,0.9665841584158416,0.7211449676823638,0.9287266225180785,0.7323293089866638,0.6969931125640869,410
0.9802639472105579,0.8265682656826568,0.9631449631449631,0.7239150507848569,0.9275650015185962,0.7237733006477356,0.6853690147399902,420
0.9799640071985602,0.8243953732912723,0.9572649572649573,0.7239150507848569,0.927364328810363,0.6879385709762573,0.6921392679214478,430
0.9797840431913617,0.8232826428945988,0.9526699029126213,0.7248384118190212,0.9217212345373161,0.6941223740577698,0.6946195363998413,440
0.9796640671865627,0.822047244094488,0.9525547445255474,0.7229916897506925,0.9279771284650697,0.6907635927200317,0.6950421333312988,450
0.9796640671865627,0.8222338751966439,0.9514563106796117,0.7239150507848569,0.9237560113694196,0.6937987208366394,0.6970797181129456,460
0.9808038392321535,0.8301486199575372,0.9762796504369539,0.7220683287165282,0.9236593330344124,0.7036093473434448,0.6956527829170227,470
0.9805638872225555,0.8282078472958643,0.9726027397260274,0.7211449676823638,0.9186897881909191,0.8679425120353699,0.6860235333442688,480
0.9801439712057588,0.8249603384452671,0.9653465346534653,0.7202216066481995,0.9192192383251877,1.8411728143692017,0.6603349447250366,490
0.9794241151769646,0.8201363398007342,0.9490291262135923,0.7220683287165282,0.9258438368835076,4.245941162109375,0.33198586106300354,500
