,pr,re,f1,auc,ap
0,0.9230851748551813,0.5964097588023288,0.7246315789473684,0.427326497342847,0.9404658017283212
1,0.92574202802604,0.5815081785417244,0.7143161210676429,0.45550761144857377,0.9449461637294512
2,0.9354091908785739,0.5600914887718326,0.700654614817705,0.4910592056941937,0.9499805051247563
3,0.9455528846153847,0.5452592181868589,0.6916652013363811,0.520705515573215,0.9537139870729071
4,0.9553191489361702,0.5290407540892709,0.6809706485859577,0.5477127883967141,0.9565637391729928
5,0.9540450588837686,0.5165650124757416,0.6702338129496404,0.5411558699987415,0.9556902117512303
6,0.9610456839653164,0.5146936512337122,0.6703678627849244,0.5641958369885661,0.9588098940564447
7,0.9586776859504132,0.5065151095092875,0.6628270826719876,0.561474143721651,0.9575518248653692
8,0.9592161016949152,0.5020792902689215,0.6591446769790719,0.5677562465633632,0.9587470062055039
9,0.9610679994738919,0.5064457998336568,0.6633380236938858,0.5738097659409946,0.9595237618100536
10,0.960079575596817,0.501732741890768,0.6590495265841224,0.5728373919622931,0.9592452478339482
11,0.9566413413675662,0.506168561131134,0.6620433324267972,0.554782644549521,0.9563644322777753
12,0.9589257503949447,0.5048516772941503,0.661460225208863,0.5582317047841676,0.9571000346895567
13,0.956140350877193,0.506168561131134,0.6619233209462523,0.5553760076826814,0.9565377266041561
14,0.9578933814061292,0.5155946770169115,0.6703613589258358,0.5605956955075945,0.9575127492371249
15,0.956748987325232,0.5074854449681175,0.6631946016937639,0.5511790798936709,0.9563922240663629
16,0.9566627741014662,0.5110202384252842,0.6661847752428282,0.5493968365864008,0.9550170450201522
17,0.953783713013878,0.5049209869697809,0.6602918517175744,0.5366310866741726,0.9548480513916954
18,0.957251507998951,0.5059606321042418,0.6620114264985945,0.5611990204642778,0.9579748540648702
19,0.9546345927572232,0.5060992514555032,0.6615029215926077,0.5436047862292674,0.9545368270852848
20,0.9582572397599791,0.5091488771832547,0.6649769168099937,0.5526893538799725,0.9555376318091828
21,0.9570544065340535,0.5035347934571667,0.6598846450792498,0.5507544908208143,0.954824977602084
22,0.9554082163286531,0.5093568062101469,0.6644665461121158,0.5363151160940913,0.9523050884138945
23,0.9541199736321687,0.5015941225395065,0.6575205560350702,0.5412780658031138,0.9539638012496756
24,0.953206465067779,0.5068616578874411,0.6618099547511312,0.5374829572046216,0.9528980647397599
25,0.9561575709985604,0.5063764901580261,0.6621052154606009,0.5471911196228076,0.9542730139519484
26,0.9562655492994632,0.506168561131134,0.6619533197371403,0.5458386963073097,0.9536083343150581
27,0.9525316455696202,0.5006930967563071,0.6563692531346538,0.5354162057560417,0.9522998388588421
28,0.9565958562811434,0.5056140837260882,0.6615579940146912,0.5569805535973797,0.9561200875520454
29,0.9533739152959462,0.5101885223177155,0.6646801209986907,0.532801323237865,0.9527172654030862
30,0.9533428906555454,0.5070002772387026,0.661960997239944,0.529906317319234,0.9522990306557457
31,0.9507940640458215,0.5062378708067646,0.6606965174129353,0.5289118657856978,0.952024017661296
32,0.9525823401255927,0.5151788189631272,0.668705861184832,0.5347584946276924,0.9522115649114099
33,0.9497286120444559,0.5093568062101469,0.6630876116574934,0.5229558491981463,0.9519650494782825
34,0.9508894044856921,0.511297477127807,0.6650139727756244,0.5195415591892322,0.9514921349152792
35,0.9513054830287206,0.5050596063210424,0.6598152843172763,0.5279777621328856,0.9519114172772946
36,0.9510862495121634,0.5067230385361796,0.6611801944381641,0.5294313037265375,0.9521137211590591
37,0.9539284782041243,0.5065844191849183,0.6617473970122227,0.5369564036755514,0.9529867072427894
38,0.9499934717326022,0.5042971998891045,0.6588490967537466,0.5213456492755024,0.9518333855812011
39,0.9521052631578948,0.5015248128638758,0.656982022879971,0.5295898851874838,0.9535049374886013
40,0.9492177141341819,0.4961879678403105,0.6517068730086482,0.528594241312136,0.9527562502420979
41,0.9500260960334029,0.5046437482672581,0.6591526344378056,0.5231389313601897,0.9519584595941288
42,0.9518197124724777,0.5093568062101469,0.6635965506343401,0.528104573453948,0.9517155164285503
43,0.9455136540962289,0.503950651510951,0.6574735509539742,0.5051948409600644,0.9485802830880177
44,0.9507899507899508,0.5088716384807319,0.6629345372460497,0.5230300436289408,0.9518967556622072
