HP = SimpleNamespace(
    g_lr = 1e-3, d_lr = 1e-3, epochs=1000, 
    hidden=512, heads=4, wl = 5, repeat=10
)
Forgot to mask out last node of random walk
,acc,f1,pr,re,auc
0,0.9801439712057588,0.8255139694254086,0.961916461916462,0.7229916897506925,0.9294408988810371
1,0.9797240551889622,0.8228511530398323,0.9515151515151515,0.7248384118190212,0.9350589646022822
2,0.9802639472105579,0.8263852242744063,0.9642857142857143,0.7229916897506925,0.9280401293285991
3,0.9796640671865627,0.8212967843964154,0.957002457002457,0.7192982456140351,0.9194768695010125
4,0.9800839832033593,0.8256302521008403,0.9573690621193667,0.7257617728531855,0.9252974443449423
5,0.9800839832033593,0.8252631578947369,0.9596083231334149,0.7239150507848569,0.9196690117679216
6,0.9805638872225555,0.8283898305084746,0.9714285714285714,0.7220683287165282,0.9251339145999746
7,0.9800239952009598,0.8240887480190174,0.9629629629629629,0.7202216066481995,0.9307264186168351
8,0.9805638872225555,0.828752642706131,0.969097651421508,0.7239150507848569,0.9218678218779874
9,0.980383923215357,0.8270756213643574,0.9678217821782178,0.7220683287165282,0.9268626618495739
10,0.9802039592081584,0.8259493670886074,0.9630996309963099,0.7229916897506925,0.9280325763336768
11,0.9797240551889622,0.821917808219178,0.9570552147239264,0.7202216066481995,0.9242604329518864
12,0.980383923215357,0.8267090620031796,0.9701492537313433,0.7202216066481995,0.9200365612345586
13,0.9793641271745651,0.8189473684210528,0.9522643818849449,0.7183748845798708,0.9284053388477898
14,0.9800839832033593,0.8248945147679324,0.9618696186961869,0.7220683287165282,0.9289840463567877
15,0.9798440311937613,0.8222222222222222,0.9628252788104089,0.7174515235457064,0.9232735675211978
16,0.9806838632273546,0.829449152542373,0.9726708074534162,0.7229916897506925,0.9236665305942797
17,0.9803239352129574,0.8266384778012685,0.9666254635352287,0.7220683287165282,0.9259890321035458
18,0.9806838632273546,0.8296296296296296,0.9714993804213135,0.7239150507848569,0.9239766180603305
19,0.9805638872225555,0.8289334741288279,0.967940813810111,0.7248384118190212,0.9259045274191783
20,0.9797840431913617,0.8227248816412415,0.9559902200488998,0.7220683287165282,0.9211822468957338
21,0.9799640071985602,0.8232804232804232,0.9640644361833953,0.7183748845798708,0.924985905519083
22,0.9800239952009598,0.8250131371518655,0.9573170731707317,0.7248384118190212,0.9294447198078803
23,0.9802639472105579,0.8262017960908611,0.9654320987654321,0.7220683287165282,0.9267828370600995
24,0.9797240551889622,0.8224789915966386,0.953714981729598,0.7229916897506925,0.9305941967763106
25,0.9801439712057588,0.8256977356503423,0.9607843137254902,0.7239150507848569,0.9299026090177072
26,0.980383923215357,0.8272583201267828,0.9666666666666667,0.7229916897506925,0.9309541043892615
27,0.980503899220156,0.8284960422163589,0.9667487684729064,0.7248384118190212,0.9279566909493973
28,0.980623875224955,0.8290100582318687,0.9714640198511166,0.7229916897506925,0.9224297647002162
29,0.9796040791841631,0.8210526315789473,0.9547123623011016,0.7202216066481995,0.9284628897071397
30,0.9806838632273546,0.8292682926829268,0.9738480697384807,0.7220683287165282,0.9305688720286296
31,0.9799040191961608,0.8235913638757241,0.9583333333333334,0.7220683287165282,0.9274384666389546
32,0.9801439712057588,0.8245892951775304,0.9676616915422885,0.7183748845798708,0.9251451108042128
33,0.9796640671865627,0.8211081794195251,0.958128078817734,0.7183748845798708,0.9216760350461333
34,0.9801439712057588,0.8249603384452671,0.9653465346534653,0.7202216066481995,0.9255773790704792
35,0.980383923215357,0.8270756213643574,0.9678217821782178,0.7220683287165282,0.9257840349354746
36,0.980503899220156,0.8281332628239025,0.969059405940594,0.7229916897506925,0.9233266162031822
37,0.9800839832033593,0.8248945147679324,0.9618696186961869,0.7220683287165282,0.9350278936545423
